,State,Population-2011,Growth
1,Uttar Pradesh,199281474,20.1
2,Maharashtra,112372972,16
3,Bihar,103804637,25.1
4,West Bengal,91347736,13.9
5,Madhya Pradesh,72597565,20.3
6,Tamil Nadu,72138958,15.6
7,Rajasthan,68621012,21.4
8,Karnataka,61130704,15.7
9,Gujarat,60383628,19.2
10,Andhra Pradesh,49386799,11.1
11,Odisha,41947358,14
12,Telangana,35286757,17.87
13,Kerala,33387677,4.9
14,Jharkhand,32966238,22.3
15,Assam,31169272,16.9
16,Punjab,27704236,13.7
17,Chhattisgarh,25540196,22.6
18,Haryana,25353081,19.9
19,Jammu & Kashmir,12548926,23.7
20,Uttarakhand,10116752,19.2
21,Himachal Pradesh,6864602,12.8
22,Tripura,3671032,15.7
23,Meghalaya,2964007,27.8
24,Manipur,2721756,18.7
25,Nagaland,1980602,-0.5
26,Goa,1457723,8.2
27,Arunachal Pradesh,1382611,25.9
28,Mizoram,1091014,22.8
29,Sikkim,607688,12.4
30,Delhi,16753235,21
31,Puducherry,1244464,27.7
32,Chandigarh,1054686,17.1
33,A & N Islands,379944,6.7
34,D&N Haveli,342853,55.5
35,Daman & Diu,242911,53.5
36,Lakshadweep,64429,6.2
